Code SIPeC,Etiquette SIPeC,Code Holland - 1,Code Holland - 2,Code Holland - 3
41404.00,"Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de la santé",I,C,E
41405.00,"Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de l'enseignement",I,C,E
41406.01,"Experts-conseils en programmes sportifs, de conditionnement physique et de loisirs",E,S,c
41406.02,"Analystes des politiques des sports, des loisirs et du conditionnement physique",I,C,E
41406.03,"Superviseurs/superviseures des programmes de sports, de loisirs et de conditionnement physique",E,S,C
41407.00,Agents/agentes de programmes propres au gouvernement,E,I,C
41409.01,Anthropologues,I,R,a
41409.02,Archéologues,I,R,a
41409.03,Géographes,I,R,E
41409.04,Historiens/historiennes,I,,
41409.05,Linguistes,I,C,e
41409.06,Politologues,I,S,e
41409.07,Psychométriciens/psychométriciennes,I,C,S
41409.08,Sociologues,I,S,C
41409.09,Autres professionnels/professionnelles des sciences sociales,I,C,S
42100.00,Policiers/policières (sauf cadres supérieurs),E,R,S
42101.00,Pompiers/pompières,R,S,e
42102.00,Membres spécialisés des Forces armées canadiennes,R,C,s
42200.01,Techniciens juridiques/techniciennes juridiques,C,I,
42200.02,Techniciens juridiques indépendants/techniciennes juridiques indépendantes,E,I,C
42200.03,Notaires publics/notaires publiques,C,S,e
42200.04,Agents/agentes de marques de commerce,E,C,I
42200.05,Juges de paix,E,C,s
42201.00,Travailleurs/travailleuses des services sociaux et communautaires,S,C,E
42202.01,Éducateurs/éducatrices de la petite enfance,S,E,i
42202.02,Aides-éducateurs/aides-éducatrices de la petite enfance,S,R,a
42203.00,Instructeurs/instructrices pour personnes ayant une déficience,S,R,i
42204.00,Travailleurs/travailleuses de la religion,S,E,
43100.00,Aides-enseignants/aides-enseignantes aux niveaux primaire et secondaire,S,R,i
43109.01,Instructeurs/instructrices de conduite automobile,S,R,e
43109.02,Examinateurs/examinatrices de permis de conduire,E,C,I
43109.03,Professeurs/professeures de couture,S,A,R
43109.04,Instructeurs/instructrices d'école de mannequins,S,A,E
43200.00,Shérifs et huissiers/huissières de justice,C,E,R
43201.00,Agents/agentes de services correctionnels,E,C,R
43202.01,Agents/agentes de contrôle des animaux,R,S,C
43202.02,Agents/agentes d'application des règlements municipaux,E,C,I
43202.03,Inspecteurs/inspectrices du transport commercial,R,C,I
43202.04,Inspecteurs/inspectrices de la collecte des ordures,C,I,e
43202.05,Inspecteurs/inspectrices de permis d'alcool,E,C,I
43202.06,Agents/agentes de surveillance du stationnement,C,E,I
43202.07,Inspecteurs/inspectrices de taxi,R,C,I
43202.08,Inspecteurs/inspectrices du zonage,C,I,E
43203.01,Agents/agentes de services frontaliers et des douanes,C,E,R
43203.02,Agents/agentes d'immigration,C,E,I
43204.00,Membres des opérations des Forces armées canadiennes,R,C,e
44100.01,Gardiens/gardiennes d'enfants en milieu familial,S,R,c
44100.02,Parents de famille d'accueil,S,R,e
44101.00,"Aides de maintien à domicile, aides familiaux/familiales et personnel assimilé",S,R,
44200.00,Combattants/combattantes de première ligne des Forces armées canadiennes,R,e,
45100.01,Surveillants/surveillantes d'élèves,S,E,c
45100.02,Brigadiers/brigadières,S,c,
50010.00,"Directeurs/directrices de bibliothèques, des archives, de musées et de galeries d'art",E,C,s
50011.00,"Directeurs/directrices - édition, cinéma, radiotélédiffusion et arts de la scène",E,C,A
50012.00,"Directeurs/directrices de programmes et de services de sports, de loisirs et de conditionnement physique",E,S,
51100.00,Bibliothécaires,C,R,E
51101.01,Restaurateurs/restauratrices,R,A,I
51101.02,Conservateurs/conservatrices,E,I,A
51102.00,Archivistes,C,I,a
51110.00,"Réviseurs/réviseures, rédacteurs-réviseurs/rédactrices-réviseures et chefs du service des nouvelles",A,E,C
51111.01,"Romanciers, dramaturges, scénaristes, poètes et autres écrivains créatifs",A,I,E
51111.02,Rédacteurs/rédactrices  (non technique),A,I,E
51111.03,Concepteurs-rédacteurs publicitaires/conceptrices-rédactrices publicitaires,E,A,C
51112.00,Rédacteurs/rédactrices techniques,A,I,C
51113.00,Journalistes,A,E,I
51114.01,Traducteurs/traductrices et traducteurs-réviseurs/traductrices-réviseures,C,I,A
51114.02,Terminologues,C,I,e
51114.03,Interprètes,S,I,A
51114.04,Interprètes en langue des signes,S,I,A
51120.01,"Producteurs/productrices de films cinématographiques, d'émissions de télévision, de radio et de jeux vidéos",E,A,S
51120.02,Réalisateurs/réalisatrices,E,A,S
51120.03,Chorégraphes,A,S,E
51120.04,Directeurs artistiques/directrices artistiques,A,E,i
51120.05,Monteurs/monteuses de films,A,E,I
51120.06,Producteurs/productrices de disques,E,A,c
51120.07,Directeurs/directrices de la photographie,E,A,R
51121.01,Chefs d'orchestre,A,E,S
51121.02,Compositeurs/compositrices,A,E,R
51121.03,Arrangeurs/arrangeuses,A,E,R
51122.01,Musiciens/musiciennes,A,E,s
51122.02,Chanteurs/chanteuses,A,E,s
51122.03,Professeurs/professeures de musique et de chant,S,A,E
52100.01,Techniciens/techniciennes dans les bibliothèques,C,S,E
52100.02,Techniciens/techniciennes dans les services d'archives publiques,C,R,E
52110.00,Cadreurs/cadreuses de films et cadreurs/cadreuses vidéo,R,A,i
52111.00,Techniciens/techniciennes en graphisme,A,R,C
52112.00,Techniciens/techniciennes en radiotélédiffusion,R,C,I
52113.00,Techniciens/techniciennes en enregistrement audio et vidéo,R,C,i
52114.00,Annonceurs/annonceuses et autres communicateurs/communicatrices,E,A,s
52119.01,Régisseurs/régisseures de plateau,E,A,s
52119.02,Chefs machinistes de plateau,E,R,c
