Code de profil SIPeC,Codes exclus,Appellation d'emploi
12203.01,11101,
12203.01,12201,
12203.01,13101,
12203.02,11100,
12203.02,11101,
12203.02,12201,
12203.03,11100,
12203.03,11101,
12203.03,12201,
12203.03,13101,
13100.00,10019,
13100.00,12100,
13100.00,12103,
13100.00,13101,
13101.00,63101,
13101.00,70012,
13102.00,12101,
13102.00,14102,
13110.00,12100,
13110.00,12110,
13110.00,13111,
13110.00,13112,
13111.00,42200,
13112.00,12111,
13200.01,10020,
13200.01,11103,
13200.02,10020,
13200.02,11103,
13201.01,14402,
13201.02,12013,
13201.02,14400,
13201.02,14401,
13201.02,14403,
14100.01,12010,
14100.01,13100,
14100.01,13110,
14100.01,14101,
14100.01,14103,
14100.01,14111,
14100.01,14200,
14100.02,12010,
14100.02,12112,
14100.02,14103,
14100.02,14111,
14100.02,14200,
14101.01,64314,
14101.01,64409,
14101.02,64409,
14101.03,14404,
14101.03,64409,
14101.04,14404,
14101.04,64409,
14102.00,11200,
14102.00,12010,
14102.00,12101,
14102.00,13102,
14103.00,12110,
14103.00,43200,
14110.01,12113,
14110.01,14301,
14110.02,12113,
14110.02,64409,
14111.00,12010,
14111.00,14100,
14112.01,52120,
14112.01,94151,
14112.02,14301,
14112.02,52111,
14112.02,52120,
14200.00,11100,
14200.00,12011,
14200.00,12200,
14200.00,13102,
14200.00,14201,
14200.00,14202,
14201.01,12011,
14201.01,12200,
14201.01,64400,
14201.02,12011,
14201.02,12200,
14201.02,64400,
14201.03,12011,
14201.03,12200,
14201.03,64400,
14300.00,12012,
14300.00,51100,
14301.01,11202,
14301.01,12012,
14301.02,11202,
14301.02,12012,
14301.03,11202,
14301.03,12012,
14301.04,11202,
14301.04,12012,
14301.05,11202,
14301.05,12012,
14400.00,12013,
14400.00,14401,
14400.00,14403,
14400.00,75101,
14401.00,14400,
14401.00,14403,
14402.00,12013,
14402.00,13201,
14402.00,14400,
14402.00,14401,
14402.00,14403,
14403.01,12102,
14403.01,14401,
14403.01,62101,
14403.02,12102,
14403.02,14401,
14403.02,62101,
14404.00,72601,
14404.00,72604,
20010.00,20011,
20010.00,20012,
20010.00,21230,
20010.00,21231,
20010.00,21232,
20010.00,21233,
20010.00,21234,
20010.00,21300,
20010.00,21301,
20010.00,21310,
20010.00,21320,
20010.00,21321,
20010.00,21322,
20010.00,21330,
20010.00,21331,
20010.00,21332,
20010.00,21390,
20010.00,21399,
20010.00,70010,
20010.00,70020,
20010.00,90010,
20010.00,90011,
20011.01,21120,
20011.01,21200,
20011.01,21201,
20011.01,21202,
20011.01,21203,
20011.01,80010,
20011.02,20010,
20011.02,20012,
20011.02,21101,
20011.02,21102,
20011.02,21103,
20011.02,21109,
20011.02,21110,
20011.02,21111,
20011.02,21112,
20011.02,21120,
20011.02,21210,
20011.02,21211,
20011.02,80010,
20012.00,00012,
20012.00,21230,
20012.00,21231,
20012.00,21311,
20012.00,22220,
21100.01,20011,
21100.01,21311,
21100.02,20011,
21100.02,21311,
21101.00,20011,
21101.00,21102,
21101.00,21109,
21101.00,21110,
21101.00,21320,
21102.01,20011,
21102.01,21100,
21102.01,21101,
21102.01,21110,
21102.01,21331,
21102.01,80010,
21102.02,21101,
21102.02,21110,
21102.02,80010,
21109.01,21101,
21109.01,21322,
21109.02,20011,
21109.03,21101,
21109.04,72600,
21110.01,20011,
21110.01,31100,
21110.02,31100,
21112.00,22114,
21120.00,22231,
