Code de profil professionnel SIPeC,Etiquette
60020.00,Directeurs/directrices - commerce de détail et de gros
60030.00,Directeurs/directrices de la restauration et des services alimentaires
60031.00,Directeurs/directrices des services d'hébergement
60040.00,Directeurs/directrices du service à la clientèle et des services personnels
62010.00,Superviseurs/superviseures des ventes - commerce de détail
62020.00,Superviseurs/superviseures des services alimentaires
62021.00,Gouvernants principaux/gouvernantes principales
62022.00,"Superviseurs/superviseures des services d'hébergement, de voyages, de tourisme et des services connexes"
62023.01,Superviseurs/superviseures des représentants au service à la clientèle - services financiers
62023.02,Superviseurs/superviseures des représentants au service à la clientèle (sauf services financiers)
62024.00,Surveillants/surveillantes des services de nettoyage
62029.00,Surveillants/surveillantes des autres services
62100.00,Spécialistes des ventes techniques - commerce de gros
62101.00,Acheteurs/acheteuses des commerces de détail et de gros
62200.01,Premiers chefs/premières chefs
62200.02,Sous-chefs
62200.03,Chefs spécialisés/chefs spécialisées
62201.01,Directeurs/directrices de funérailles
62201.02,Embaumeurs/embaumeuses
62202.01,Bijoutiers/bijoutières et personnel assimilé
62202.02,Horlogers-rhabilleurs/horlogères-rhabilleuses
63100.00,Agents/agentes et courtiers/courtières d'assurance
63101.00,Agents/agentes et vendeurs/vendeuses en immobilier
63102.00,Représentants/représentantes des ventes financières
63200.00,Cuisiniers/cuisinières
63201.00,Bouchers/bouchères - commerce de gros et de détail
63202.00,Boulangers-pâtissiers/boulangères-pâtissières
63210.01,Coiffeurs/coiffeuses
63210.02,Barbiers/barbières
63211.01,Esthéticiens/esthéticiennes
63211.02,Cosméticiens/cosméticiennes
63211.03,Électrolystes
63211.04,Manucures et pédicures
63211.05,Spécialistes du cuir chevelu
63211.06,Tatoueurs/tatoueuses
63211.07,Techniciens/techniciennes en greffe de cheveux (non médicaux)
63220.01,Fabricants/fabricantes de chaussures
63220.02,Cordonniers/cordonnières
63221.00,Tapissiers-garnisseurs/tapissières-garnisseuses
64100.01,Vendeurs/vendeuses - commerce de détail
