Code de profil professionnel SIPeC,Lieux de travail/employeurs,Nom du profil professionnel SIPeC
41400.04,Organismes de recherche,Agents/agentes de programmes et de politiques de la science
41400.04,Travail autonome,Agents/agentes de programmes et de politiques de la science
41400.05,Entreprises de fabrication d'ordinateurs,Agents/agentes de transfert de technologie
41400.05,Firmes d'experts-conseils,Agents/agentes de transfert de technologie
41400.05,Établissements d'enseignement,Agents/agentes de transfert de technologie
41400.05,Organisations environnementales et de conservation,Agents/agentes de transfert de technologie
41400.05,Gouvernement fédéral,Agents/agentes de transfert de technologie
41400.05,Administrations municipales,Agents/agentes de transfert de technologie
41400.05,Gouvernements provinciaux,Agents/agentes de transfert de technologie
41400.05,Organismes de recherche,Agents/agentes de transfert de technologie
41400.05,Travail autonome,Agents/agentes de transfert de technologie
41401.00,Association professionnelle,"Économistes, recherchistes et analystes des politiques économiques"
41401.00,Banques,"Économistes, recherchistes et analystes des politiques économiques"
41401.00,Organismes et services gouvernementaux,"Économistes, recherchistes et analystes des politiques économiques"
41401.00,Sociétés de placements,"Économistes, recherchistes et analystes des politiques économiques"
41401.00,Organismes de recherche,"Économistes, recherchistes et analystes des politiques économiques"
41401.00,Syndicats,"Économistes, recherchistes et analystes des politiques économiques"
41402.00,Associations d'entreprises,Agents/agentes de développement économique et recherchistes et analystes en marketing
41402.00,Ministères gouvernementaux,Agents/agentes de développement économique et recherchistes et analystes en marketing
41402.00,Organismes internationaux,Agents/agentes de développement économique et recherchistes et analystes en marketing
41402.00,Entreprises de Marketing,Agents/agentes de développement économique et recherchistes et analystes en marketing
41402.00,Travail autonome,Agents/agentes de développement économique et recherchistes et analystes en marketing
41403.01,Firmes d'experts-conseils,Recherchistes en matière de politiques sociales
41403.01,Institutions d'enseignement,Recherchistes en matière de politiques sociales
41403.01,Organismes et services gouvernementaux,Recherchistes en matière de politiques sociales
41403.01,Secteur industriel,Recherchistes en matière de politiques sociales
41403.01,Organismes internationaux,Recherchistes en matière de politiques sociales
41403.01,Organismes non gouvernementaux,Recherchistes en matière de politiques sociales
41403.01,Associations professionnelles,Recherchistes en matière de politiques sociales
41403.01,Instituts de recherche,Recherchistes en matière de politiques sociales
41403.01,Travail autonome,Recherchistes en matière de politiques sociales
41403.02,Firmes d'experts-conseils,Conseillers/conseillères en économie domestique
41403.02,Établissements d'enseignement,Conseillers/conseillères en économie domestique
41403.02,Organismes et services gouvernementaux,Conseillers/conseillères en économie domestique
41403.02,Centres hospitaliers,Conseillers/conseillères en économie domestique
41403.02,Secteur industriel,Conseillers/conseillères en économie domestique
41403.02,Organismes internationaux,Conseillers/conseillères en économie domestique
41403.02,Organismes non gouvernementaux,Conseillers/conseillères en économie domestique
41403.02,Associations professionnelles,Conseillers/conseillères en économie domestique
41403.02,Instituts de recherche,Conseillers/conseillères en économie domestique
41403.02,Travail autonome,Conseillers/conseillères en économie domestique
41403.03,Firmes d'experts-conseils,Analystes de politiques du logement
41403.03,Établissements d'enseignement,Analystes de politiques du logement
41403.03,Organismes et services gouvernementaux,Analystes de politiques du logement
41403.03,Secteur industriel,Analystes de politiques du logement
41403.03,Organismes internationaux,Analystes de politiques du logement
41403.03,Organismes non gouvernementaux,Analystes de politiques du logement
41403.03,Associations professionnelles,Analystes de politiques du logement
41403.03,Instituts de recherche,Analystes de politiques du logement
41403.03,Travail autonome,Analystes de politiques du logement
41403.04,Firmes d'experts-conseils,Consultants/consultantes en immigration et en citoyenneté
41403.04,Organismes et services gouvernementaux,Consultants/consultantes en immigration et en citoyenneté
41403.04,Organismes internationaux,Consultants/consultantes en immigration et en citoyenneté
41403.04,Organismes non gouvernementaux,Consultants/consultantes en immigration et en citoyenneté
41403.04,Associations professionnelles,Consultants/consultantes en immigration et en citoyenneté
41403.04,Travail autonome,Consultants/consultantes en immigration et en citoyenneté
41403.05,Firmes d'experts-conseils,Agents/agentes de projets d'aide et de développement internationaux
41403.05,Établissements d'enseignement,Agents/agentes de projets d'aide et de développement internationaux
41403.05,Organismes et services gouvernementaux,Agents/agentes de projets d'aide et de développement internationaux
41403.05,Secteur industriel,Agents/agentes de projets d'aide et de développement internationaux
41403.05,Organismes internationaux,Agents/agentes de projets d'aide et de développement internationaux
41403.05,Organismes non gouvernementaux,Agents/agentes de projets d'aide et de développement internationaux
41403.05,Associations professionnelles,Agents/agentes de projets d'aide et de développement internationaux
41403.05,Instituts de recherche,Agents/agentes de projets d'aide et de développement internationaux
41403.05,Travail autonome,Agents/agentes de projets d'aide et de développement internationaux
41403.06,Firmes d'experts-conseils,Recherchistes pour des enquêtes sociales
41403.06,Institutions d'enseignement,Recherchistes pour des enquêtes sociales
41403.06,Organismes et services gouvernementaux,Recherchistes pour des enquêtes sociales
41403.06,Centres hospitaliers,Recherchistes pour des enquêtes sociales
41403.06,Secteur industriel,Recherchistes pour des enquêtes sociales
41403.06,Organismes internationaux,Recherchistes pour des enquêtes sociales
41403.06,Organismes non gouvernementaux,Recherchistes pour des enquêtes sociales
41403.06,Associations professionnelles,Recherchistes pour des enquêtes sociales
41403.06,Instituts de recherche,Recherchistes pour des enquêtes sociales
41403.06,Travail autonome,Recherchistes pour des enquêtes sociales
41403.07,Firmes d'experts-conseils,Planificateurs/planificatrices de services sociaux
41403.07,Établissements d'enseignement,Planificateurs/planificatrices de services sociaux
41403.07,Organismes et services gouvernementaux,Planificateurs/planificatrices de services sociaux
41403.07,Centres hospitaliers,Planificateurs/planificatrices de services sociaux
41403.07,Secteur industriel,Planificateurs/planificatrices de services sociaux
41403.07,Organismes internationaux,Planificateurs/planificatrices de services sociaux
41403.07,Organismes non gouvernementaux,Planificateurs/planificatrices de services sociaux
41403.07,Associations professionnelles,Planificateurs/planificatrices de services sociaux
41403.07,Instituts de recherche,Planificateurs/planificatrices de services sociaux
41403.07,Travail autonome,Planificateurs/planificatrices de services sociaux
41404.00,Agences de services communautaires,"Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de la santé"
41404.00,Firmes d'experts-conseils,"Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de la santé"
41404.00,Institutions d'enseignement,"Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de la santé"
41404.00,Organismes et services gouvernementaux,"Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de la santé"
41404.00,Centres hospitaliers,"Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de la santé"
41404.00,Organismes internationaux,"Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de la santé"
41404.00,Organismes non gouvernementaux,"Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de la santé"
41404.00,Associations professionnelles,"Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de la santé"
41404.00,Instituts de recherche,"Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de la santé"
41404.00,Universités,"Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de la santé"
41405.00,Établissements d'enseignement,"Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de l'enseignement"
41405.00,Ministères gouvernementaux,"Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de l'enseignement"
41405.00,Organismes non gouvernementaux,"Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de l'enseignement"
41405.00,Organismes des secteurs public et privé,"Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de l'enseignement"
41405.00,Associations professionnelles,"Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de l'enseignement"
41405.00,Instituts de recherche,"Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de l'enseignement"
41405.00,Conseils ou commissions scolaires,"Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de l'enseignement"
41405.00,Travail autonome,"Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de l'enseignement"
41406.01,Centres communautaires,"Experts-conseils en programmes sportifs, de conditionnement physique et de loisirs"
41406.01,Gouvernement fédéral,"Experts-conseils en programmes sportifs, de conditionnement physique et de loisirs"
41406.01,Administrations municipales,"Experts-conseils en programmes sportifs, de conditionnement physique et de loisirs"
41406.01,Gouvernements provinciaux,"Experts-conseils en programmes sportifs, de conditionnement physique et de loisirs"
41406.01,"Établissements récréatifs, sportifs et de santé","Experts-conseils en programmes sportifs, de conditionnement physique et de loisirs"
41406.01,Maisons de retraite,"Experts-conseils en programmes sportifs, de conditionnement physique et de loisirs"
41406.01,Travail autonome,"Experts-conseils en programmes sportifs, de conditionnement physique et de loisirs"
41406.01,Cabinets et organismes d'experts-conseils en sports et en conditionnement physique,"Experts-conseils en programmes sportifs, de conditionnement physique et de loisirs"
41406.02,Centres communautaires,"Analystes des politiques des sports, des loisirs et du conditionnement physique"
41406.02,Gouvernement fédéral,"Analystes des politiques des sports, des loisirs et du conditionnement physique"
41406.02,Administrations municipales,"Analystes des politiques des sports, des loisirs et du conditionnement physique"
41406.02,Gouvernements provinciaux,"Analystes des politiques des sports, des loisirs et du conditionnement physique"
41406.02,"Établissements récréatifs, sportifs et de santé","Analystes des politiques des sports, des loisirs et du conditionnement physique"
